Test number,Bandwidth,Reference Channel,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,
,,,,,Pm-bch (%),SNR (dB)
1,1.4 MHz,R.23,EVA5,4 x 2 Medium,1,-3.5
