Parameter,,Unit,Transmit diversity
Downlink power allocation(Note 1),PDCCH_RAPHICH_RAOCNG_RA,dB,-3
,PCFICH_RBPDCCH_RBPHICH_RBOCNG_RB,dB,-3
at antenna port,,dBm/15kHz,-98
PHICH Ng (Note 1),,,1
PHICH duration,,,Normal
Unused RE-s and PRB-s (Note 2),,,OCNG
Cell ID,,,0
Cyclic prefix,,,Normal
ACK/NACK feedback mode,,,Multiplexing
"Note 1:In LAA Scell(s), PCFICH_RB, PHICH_RA, and PHICH_RB are not available.Note 2:OCNG is applied only within LAA burst.",,,
