Test num,Bandwidth and MCS,Reference channel,OCNG pattern,Propa-gation condi-tion,Correlation matrix and antenna config.,Reference value,,UE category
,,,,,,Fraction of maximumThroughput (%),SNR (dB),
1,10 MHz16QAM 1/2,R.11 FDD,OP.1 FDD,EVA70,2x4 Low,70,8.0,≥2
