Test Number,Reference Channel,OCNG Pattern,,Propagation Conditions (NOTE 1),,Reference Value,,UE Category
,,Cell 1,Cell 2,Cell 1,Cell 2,Fraction of Maximum Throughput (%),SNR (dB) (NOTE 2),
1,R.11-8 FDD,OP.1 FDD,OP.5 FDD,EVA70,EVA70,70,19.9,≥2
NOTE 1:The propagation conditions for Cell 1 and Cell 2 are statistically independent.NOTE 2:SNR corresponds to  of Cell 1.,,,,,,,,
