Parameter,,Unit,Test 1
Bandwidth,,MHz,10
Transmission mode,,,6
Uplink downlink configuration,,,1
Special subframe configuration,,,4
Propagation channel,,,EVA5
Precoding granularity,,PRB,50
Correlation and antenna configuration,,,Low 2 x 2
Downlink power allocation,,dB,-3
,,dB,-3
,,dB,0
,,dB[mW/15kHz],-98
Reporting mode,,,PUSCH 3-1
Reporting interval,,ms,1
PMI delay (Note 2),,ms,10 or 11
Measurement channel,,,R.10 TDD
OCNG Pattern,,,OP.1 TDD
Max number of HARQ transmissions,,,4
Redundancy version coding sequence,,,"{0,1,2,3}"
ACK/NACK feedback mode,,,Multiplexing
"Note 1:For random precoder selection, the precoder shall be updated in each available downlink transmission instance.Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).",,,
