Test number,Bandwidth,Aggregation level,Reference Channel,OCNG Pattern,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,,UECategory
,,,,,,,Pm-dsg (%),SNR (dB),
1,10 MHz,24 ECCE,R.83 FDD,OP.2 FDD,ETU1,2 x 1 Low,1,-12,M1
2,10 MHz,24 ECCE,R.83 FDD,OP.2 FDD,ETU1,2 x 2 Low,1,-13.2,≥1
3,10 MHz,24 ECCE,R.83 FDD,OP.2 FDD,ETU1,2 x 4 Low,1,-12.8,≥1
