Test num.,CA Band-width combination,Requirement,UE category
1,2x10 MHz,As specified in Table 8.13.1.2.1-2 per CC depending on either 2Rx CC or 4Rx CC,≥5
2,2x20 MHz,As specified in Table 8.13.1.2.1-2 per CC depending on either 2Rx CC or 4Rx CC,≥5
3,2x5 MHz,As specified in Table 8.13.1.2.1-2 per CC depending on either 2Rx CC or 4Rx CC,≥5
4,15MHz+5MHz,As specified in Table 8.13.1.2.1-2 per CC depending on either 2Rx CC or 4Rx CC,≥5
5,10MHz+5MHz,As specified in Table 8.13.1.2.1-2 per CC depending on either 2Rx CC or 4Rx CC,≥5
Note 1: The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 8.1.2.6.,,,
