Test num.,Bandwidth and MCS,Referencechannel,OCNG pattern,Propa-gation condi-tion,Correlation matrix and antenna config.,Reference value,,UE cate-gory,DL UE category
,,,,,,Fraction of maximum throughput (%),SNR (dB),,
1,10 MHz,R.36 FDD,OP.1 FDD,EPA5,4x4 Low,70,10.1,≥2,≥6
2,10 MHz 256 QAM,R.72 FDD,OP.1 FDD,EPA5,4x4 Low,70,18.0,11-12,≥11
3,10MHz1024QAM,R.102 FDD,OP.1 FDD,EPA5,4x4 Low,70,27.7,TBD,"20, ≥ 22"
