Parameter,,Unit,Cell 1,Cell 2
Uplink downlink configuration,,,1,1
Special subframe configuration,,,4,4
Downlink power allocation,,dB,-3,-3
,,dB,-3 (Note 1),-3 (Note 1)
,,dB,0,N/A
at antenna port,,dBm/15kHz,-102 (Note 2),N/A
,,dBm/15kHz,-98 (Note 3),N/A
,,dBm/15kHz,-94.8 (Note 4),N/A
,,dB,Reference Value in Table 8.2.2.3.3-2,6
BWChannel,,MHz,10,10
Subframe Configuration,,,Non-MBSFN,Non-MBSFN
Cell Id,,,0,1
Time Offset between Cells,,s,2.5 (synchronous cells),
ABS pattern (Note 5),,,N/A,"0000010001, 0000000001"
RLM/RRM Measurement Subframe Pattern (Note 6),,,"0000000001, 0000000001",N/A
CSI Subframe Sets (Note 7),"CCSI,0",,"0000010001, 0000000001",N/A
,"CCSI,1",,1100101000 1100111000,N/A
Number of control OFDM symbols,,,2,2
ACK/NACK feedback mode,,,Multiplexing,N/A
PDSCH transmission mode,,,3,N/A
Cyclic prefix,,,Normal,Normal
"Note 1:.Note 2:This noise is applied in OFDM symbols #1, #2, #3, #5, #6, #8, #9, #10,#12, #13 of a subframe overlapping with the aggressor ABS.Note 3:This noise is applied in OFDM symbols #0, #4, #7, #11 of a subframe overlapping with the aggressor ABS.Note 4:This noise is applied in all OFDM symbols of a subframe overlapping with aggressor non-ABS.Note 5:ABS pattern as defined in [9].Note 6:Time-domain measurement resource restriction pattern for PCell measurements as defined in [7].Note 7: As configured according to the time-domain measurement resource restriction pattern for CSI measurements defined in [7].Note 8:Cell 1 is the serving cell. Cell 2 is the aggressor cell. The number of the CRS ports in Cell1 and Cell2 is the same.Note 9:SIB-1 will not be transmitted in Cell2 in this test.",,,,
