,ue-Category or UE-CategoryDL,
UE-EUTRA-Capability,M1,M2
ce-ModeA-r13,8.11.1.2.3.1 Test 2a8.11.1.2.3.1 Test 58.11.1.2.3.1 Test 6,8.11.1.2.3.1 Test 58.11.1.2.3.1 Test 6
ce-ModeB-r13,,8.11.1.2.3.2 Test 2a
