,ue-Category or UE-CategoryDL,,
UE-EUTRA-Capability,"M2, Cat-0, 1bis",≥1 (Note 1),
ce-PDSCH-PUSCH-MaxBandwidth-r14,5MHz,5MHz,20MHz
ce-ModeA-r13,8.11.1.1.1.1 Test 18.11.1.1.2.1 Test 18.11.1.1.3.2 Test 1,8.11.1.1.2.1 Test 28.11.1.1.2.1 Test 3,8.11.1.1.2.1 Test 28.11.1.1.2.1 Test 38.11.1.1.3.2 Test 38.11.1.1.3.2 Test 4
ce-ModeB-r13,8.11.1.1.1.1 Test 18.11.1.1.2.1 Test 18.11.1.1.3.2 Test 2,8.11.1.1.2.1 Test 28.11.1.1.2.1 Test 38.11.1.1.3.1 Test 38.11.1.1.3.1 Test 4,8.11.1.1.2.1 Test 28.11.1.1.2.1 Test 38.11.1.1.3.1 Test 38.11.1.1.3.1 Test 4
Note 1:Which test case applies to the UE depends on the supported receiver antenna number.,,,
