MIMO layer,Bandwidth,FDD Reference channel,TDD Reference channel
2 layer,5,R.31-6 FDD,N/A
,10,R.31-3A FDD,R.31-6 TDD
,15,R.31-5 FDD,R.31-5 TDD
,20,R.31-4 FDD,R.31-4 TDD
4 layer,5,R.31-10 FDD,N/A
,10,R.31-7 FDD,R.31-7 TDD
,15,R.31-8 FDD,R.31-8 TDD
,20,R.31-9 FDD,R.31-9 TDD
