Test number,Bandwidth,Aggregation level,Reference Channel,OCNG Pattern,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,,UECategory
,,,,,,,Pm-dsg (%),SNR (dB),
1,10 MHz,24 ECCE,R.83 TDD,OP.2 TDD,ETU1,2 x 1 Low,1,-9.7,M1
