Tests,Applicable if UE supports at least the following capability
Table 10.4.1.1-2 test 1,LTE based 5G terrestrial broadcast support of mbms-ScalingFactor0dot37-r16 and timeSeparationSlot4-r16
Table 10.4.1.1-2 test 2,LTE based 5G terrestrial broadcast support of mbms-ScalingFactor0dot37-r16 and timeSeparationSlot2-r16
Table 10.4.1.2-2 test 1,LTE based 5G terrestrial broadcast support of mbms-ScalingFactor2dot5-r16
Table 10.4.2.1-1 test 1,LTE based 5G terrestrial broadcast support of mbms-ScalingFactor0dot37-r16and LTE based 5G terrestrial broadcast support of PBCH repetition in CAS
Table 10.4.2.1-1 test 2,LTE based 5G terrestrial broadcast support of mbms-ScalingFactor2dot5-r16and LTE based 5G terrestrial broadcast support of PBCH repetition in CAS
