Test number,Bandwidth combination (MHz),Number of bits of a DL-SCH transport block received within a TTI,Measurement channel,Reference valueTB success rate across CGs(%),,
,,,,DRB type of Split bearer (Note 2),DRB type of SCG bearer (Note 3),
,,,,,MCG,SCG
1,2x20,75376/0 (Note 4),R.31-4A TDD,85,85,85
2,3x20,75376/0 (Note 4),R.31-4A TDD,85,85,85
3,4x20,75376/0 (Note 4),R.31-4A TDD,85,85,85
4,15+3x20,55056/0 for 15MHz CC75376/0 for 20MHz CC (Note 4),R.31-5 TDD for 15MHz CCR.31-4 TDD for 20MHz CC,85,85,85
"Note 1:For 2 layer transmissions, 2 transport blocks are received within a TTI.Note 2:For the configuration of DRB type of Split bearer,the TB success rate across CGs is defined as TB success rate = 100%*NDL_correct_rx/ (NDL_newtx + NDL_retx), where NDL_newtx is the number of newly transmitted DL transport blocks, NDL_retx is the number of retransmitted DL transport blocks, and NDL_correct_rx is the number of correctly received DL transport blocks. All the above numbers of transmitted, retransmitted or correctly received DL transport blocks are calculated as the sum of the numbers of DL transport blockes across all the CGs used for DC transmission or reception.Note 3:For the configuration of DRB type of SCG bearer, the TB success rate across CGs is defined as TB success rate = 100%*NDL_correct_rx/ (NDL_newtx + NDL_retx), where NDL_newtx is the number of newly transmitted DL transport blocks, NDL_retx is the number of retransmitted DL transport blocks, and NDL_correct_rx is the number of correctly received DL transport blocks. All the above numbers of transmitted, retransmitted or correctly received DL transport blocks are calculated as the sum of the numbers of DL transport blockes per CG used for DC transmission or reception, separately.Note 4:71112 bits for sub-frame 5.",,,,,,
