Tests / clause,Applicable if UE indicates at least the following capability
10.3.1,FeMBMS support of fembmsMixedCell and unicast-fembmsMixedSCell with corresponding subcarrier spacing
10.3.2,FeMBMS support of fembmsMixedCell with corresponding subcarrier spacing
10.3.3,FeMBMS support of fembmsDedicatedCell with corresponding subcarrier spacing
