Test num.,Sidelink UE,Band-width,PSSCH Reference channel,Reference value,
,,,,Fraction of maximum throughput (%) (NOTE 1),SNR (dB) of PSSCH
1,2,10 MHz,CD.1 FDD,70,-3.4
,,5 MHz,,70,-3.3
NOTE 1:The throughput is measured after 40 radio frames of lead time during which the test UE detects and synchronizes to Sidelink UE 1.,,,,,
