,CSI process 0,CSI process 1,CSI process 2,CSI process 3
 [%],N/A,2,2,2
 [%],N/A,40,40,40
 [%],10,N/A,N/A,N/A
,N/A,N/A,1.02,N/A
UE Category,≥1,,,
