Test number,Bandwidth combination (MHz)
1,15MHz+2×20MHz for FDD cell and 2x20MHz for TDD cell
2,2×15MHz+20MHz for FDD cell and 2x20MHz for TDD cell
3,4x20(FDD)+20(TDD)MHz
4,3x20(FDD)+2x20(TDD)MHz
5,2x20(FDD)+3x20(TDD)NA
6,20(FDD)+4x20(TDD)MHz
7,10(FDD)+4x20(TDD)MHz
8,2x10(FDD)+3x20(TDD)MH
9,10+20(FDD)+3x20(TDD)MHz
10,10+2×20(FDD)+2×20(TDD)MHz
11,10+15+20(FDD)+2x20(TDD)MHz
"Note 1: The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 9.1.1.2A. The test coverage for different number of component carriers is defined in 9.1.1.3.Note 2: If more than one cell can be configured as PCell, choose one of the cells with the smallest bandwidth as PCell. Mapping of PCell and Scells to the CCs shall be constant for all the iterations during the test. Each execution of the test shall use the same mapping.",
