Test num.,CA Band-width combination,Requirement,UE category
1,7x20MHz,As specified in Table 8.2.2.4.3-5 per CC,"8, ≥11"
Note 1:The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 8.1.2.3,,,
