Test Number,Bandwidth (MHz),,Reference channel,,Power at antenna port (dBm/15KHz),,Reference valueFraction of MaximumThroughput (%),,UE Category
,PCell,SCell,PCell,SCell,for PCell,for Scell,PCell,SCell,
1,20,20,R.49 FDD,NA,-85,-79,85,NA,≥5
2,10,10,NA,R.49-1 FDD,-79,-85.8,NA,85,≥5
3,5,5,NA,R.49-2 FDD,-79,-85.9,NA,85,≥5
Note 1: The OCNG pattern for PCell is used to fill the control channel. The OCNG pattern for SCell is used to fill the control channel and PDSCH.Note 2: The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 8.1.2.3.,,,,,,,,,
