Test number,Cell,Bandwidth (MHz),Reference Channel,MBSFN RS type,OCNG Pattern,Propagationcondition,Correlation Matrix and antenna,Reference value,,MBMS UE Category
,,,,,,,,BLER (%),SNR(dB),
1,PCell,10,N/A,N/A,OP.1 FDD,AWGN,1x1,N/A,N/A,N/A
,MBMS Dedicated Cell,8,R.108-1 FDD,Type 1,N/A,MBSFN channel model (Table B.2.6.3-1),1x1,1,12.2,
,MBMS Dedicated Cell,8,R.108-1 FDD,Type 1,N/A,MBSFN channel model (Table B.2.6.3-2),1x1,1,10.6,
2,PCell,10,N/A,N/A,OP.1 FDD,AWGN,1x1,N/A,N/A,N/A
,MBMS Dedicated Cell,8,R.108-2 FDD,Type 1,N/A,MBSFN channel model (Table B.2.6.3-1),1x1,1,3,
,MBMS Dedicated Cell,8,R.108-2 FDD,Type 1,N/A,MBSFN channel model (Table B.2.6.3-2),1x1,1,2.4,
