CA config,Maximum supported Bandwidth/ Bandwidth combination (MHz),,,"Cat. 11, 12",DL Cat. 13,,,,
,Total,FDD CC,TDD CC,"DL Cat. 11, 12",,,,,
DC with 2CCs,2x20,20,20,1,1,,,,
,,,,,,,,,
,,,,,,,,,
"Note 1:If DL category is signalled by the UE under test, then select the test point according to UE DL Category. Otherwise, select the test point according to the UE category signalled.",,,,,,,,,
