Dual connectivity capability,Bandwidth combination for FDD dual connectivity,Bandwidth combination for TDD dual connectivity,Bandwidth combination for TDD-FDD dual connectivity
DC_A_2,"10+10MHz, 10+20MHz, 15+15MHz,15+20MHz, 20+20MHz,15+5MHz",20+20MHz,20(FDD)+20(TDD)MHz
NOTE 1:This table is only for information and applicability and test rules of dual connectivity performance requirements are specified in 8.1.2.3A,,,
