Test number,Bandwidth,DL TTI length,Aggregation Level,Reference Channel,OCNG Pattern,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,
,,,,,,,,Pm-dsg (%),SNR (dB)
1,10 MHz,Slot,2 SCCE,R.sTTI.10 FDD,OP.7 FDD,EVA30,4 x 2 Low,1,2.9
2,10 MHz,Slot,8 SCCE,R.sTTI.11 FDD,OP.7 FDD,EPA5,2 x 2 Low,1,1.3
3,10 MHz,Subslot,2 SCCE,R.sTTI.10 FDD,OP.7 FDD,EVA30,4 x 2 Low,1,2.3
4,10 MHz,Subslot,8 SCCE,R.sTTI.11 FDD,OP.7 FDD,EPA5,2 x 2 Low,1,0.9
