Tests,Step 1,Step 2,Step 3,Step 4
"CA tests in Clause 8.13.1.1.1, 8.13.1.2.1",Select FDD CA configurations with the maximum number of CCs excluding the 2Rx only CA configuration among all supported FDD CA configurations with any CA capability,Select FDD CA configurations with maximum number of 4Rx CCs among all the selected FDD CA configurations from Step 1,Select any one of the FDD CA configuration with the largest aggregated CA bandwidth combination among all the selected FDD CA configurations from Step 2,NA
DC tests in Clause 8.13.1.1.2,Select FDD DC configurations with the maximum number of CCs excluding the 2Rx only DC configuration among all supported FDD DC configurations with any DC capability,Select FDD DC configurations with maximum number of 4Rx CCs among all the selected FDD DC configurations from Step 1,Select any one of the FDD DC configuration with the largest aggregated DC bandwidth combination among all the selected FDD DC configurations from Step 2,NA
"CA tests in Clause 8.13.2.1.1, 8.13.2.2.1",Select TDD CA configurations with the maximum number of CCs excluding the 2Rx only CA configuration among all supported TDD CA configurations with any CA capability,Select TDD CA configurations with maximum number of 4Rx CCs among all the selected TDD CA configurations from Step 1,Select any one of the TDD CA configuration with the largest aggregated CA bandwidth combination among all the selected TDD CA configurations from Step 2,NA
DC tests in Clause 8.13.2.1.2,Select TDD DC configurations with the maximum number of CCs excluding the 2Rx only DC configuration among all supported TDD DC configurations with any DC capability,Select TDD DC configurations with maximum number of 4Rx CCs among all the selected TDD DC configurations from Step 1,Select any one of the TDD DC configuration with the largest aggregated DC bandwidth combination among all the selected TDD DC configurations from Step 2,NA
"CA tests in Clause 8.13.3.1.1, 8.13.3.1.2, 8.13.3.2.1, 8.13.3.2.2",Select TDD-FDD CA configurations with the maximum number of CCs excluding the 2Rx only CA configuration among all supported TDD-FDD CA configurations with any CA capability,Select TDD-FDD CA configurations with maximum number of 4Rx CCs among all the selected TDD-FDD CA configurations from Step 1,Select any one of the TDD-FDD CA configuration with the largest aggregated CA bandwidth combination among all the selected TDD-FDD CA configurations from Step 2,NA
"DC tests in Clause 8.13.3.5.1, 8.13.3.5.2",Select TDD-FDD DC configurations with the maximum number of CCs excluding the 2Rx only DC configuration among all supported TDD-FDD DC configurations with any DC capability,Select TDD-FDD DC configurations with maximum number of 4Rx CCs among all the selected TDD-FDD DC configurations from Step 1,Select any one of the TDD-FDD DC configuration with the largest aggregated DC bandwidth combination among all the selected TDD-FDD DC configurations from Step 2,NA
"CA tests in Clause 8.13.1.3.1, 8.13.1.4.1, 8.13.1.1.3",Select FDD CA configurations with the maximum number of CCs excluding the 2Rx only CA configuration among all supported FDD CA configurations with any CA capability,Select FDD CA configurations with maximum number of 4Rx CCs among all the selected FDD CA configurations from Step 1,Select any one of the FDD CA configuration with the largest aggregated CA bandwidth combination among all the selected FDD CA configurations from Step 2,Select 2CCs with maximum number of 4Rx CCs with the largest aggregated CA bandwidth combination among the selected FDD CA configuration from Step 3
"CA tests in Clause 8.13.2.3.1, 8.13.2.4.1, 8.13.2.1.3",Select TDD CA configurations with the maximum number of CCs excluding the 2Rx only CA configuration among all supported TDD CA configurations with any CA capability,Select TDD CA configurations with maximum number of 4Rx CCs among all the selected TDD CA configurations from Step 1,Select any one of the TDD CA configuration with the largest aggregated CA bandwidth combination among all the selected TDD CA configurations from Step 2,Select 2CCs with maximum number of 4Rx CCs with the largest aggregated CA bandwidth combination among the selected TDD CA configuration from Step 3
"CA tests in Clause 8.13.3.3.1, 8.13.3.3.2, 8.13.3.4.1, 8.13.3.4.2, 8.13.3.6.1, 8.13.3.6.2",Select TDD-FDD CA configurations with the maximum number of CCs excluding the 2Rx only CA configuration among all supported TDD-FDD CA configurations with any CA capability,Select TDD-FDD CA configurations with maximum number of 4Rx CCs among all the selected TDD-FDD CA configurations from Step 1,Select any one of the TDD-FDD CA configuration with the largest aggregated CA bandwidth combination among all the selected TDD CA configurations from Step 2,Select 2CCs with maximum number of 4Rx CCs with the largest aggregated CA bandwidth combination among the selected TDD-FDD CA configuration from Step 3
CA tests in Clause 8.13.1.1.4,Select FDD CA configurations with the maximum number of CCs supporting 4 layers MIMO among all supported FDD CA configurations with any CA capability,Select any one of the FDD CA configuration with the largest aggregated CA bandwidth combinations on any 2CCs among all the CCs among all the slected FDD CA configuration from Step 1,NA,NA
CA tests in Clause 8.13.2.1.4,Select TDD CA configurations with the maximum number of CCs supporting 4 layers MIMO among all supported TDD CA configurations with any CA capability,Select any one of the TDD CA configuration with the largest aggregated CA bandwidth combinations on any 2CCs among all the CCs among all the slected TDD CA configuration from Step 1,NA,NA
"CA tests in Clause 8.13.3.7.1, 8.13.3.7.2",Select TDD-FDD CA configurations with the maximum number of CCs supporting 4 layers MIMO among all supported TDD-FDD CA configurations with any CA capability,Select any one of the TDD-FDD CA configuration with the largest aggregated CA bandwidth combinations on any 2CCs among all the CCs among all the slected TDD-FDD CA configuration from Step 1,NA,NA
"NOTE 1:The applicability and test rules are specified in this table, unless otherwise stated.NOTE 2:Number of the supported bandwidth combinations to be tested from each selected CA configuration is 1.NOTE 3:A single Uplink CC is configured for all CA tests and 2 Uplink CCs are configured for all DC tests.",,,,
