Test Number,Reference Channel,,OCNG Pattern,,,Propagation Conditions,,,,Correlation Matrix and Antenna Configuration (NOTE 3),,Reference Value,,,,UE Category
,,,Cell 1,Cell 2,,Cell 1,,Cell 2,,,,Fraction of Maximum Throughput (%),,SINR (dB) (NOTE 2),,
1,R.46 FDD,OP.1 FDD,,,N/A,,EVA70,,EVA70,,2x4 Low,70,-4.4,,≥1,
NOTE 1:The propagation conditions for Cell 1 and Cell 2 are statistically independent.NOTE 2:SINR corresponds to  of Cell 1 as defined in clause 8.1.1.NOTE 3:Correlation matrix and antenna configuration parameters apply for each of Cell 1 and Cell 2.,,,,,,,,,,,,,,,,
