,CSI process 0,CSI process 1,CSI process 2,CSI process 3
CSI-RS resource,CSI-RS signal 0,CSI-RS signal 1,CSI-RS signal 0,CSI-RS signal 1
CSI-IM resource,CSI-IM resource 0,CSI-IM resource 0,CSI-IM resource 1,CSI-IM resource 2
