MIMO layer,Bandwidth,Reference channel
2 layer,10,R.105-2 TDD
,15,R.105-1 TDD
,20,R.105 TDD
4 layer,10,R.105-5 TDD
,15,R.105-4 TDD
,20,R.105-3 TDD
