Test num.,CA Band-width combination,Requirement,UE category
,,,
1,2x20 MHz,As specified in Table 8.2.2.9.1-4 per CC,≥5
2,20 MHz + 15 MHz,As specified in Table 8.2.2.9.1-4 per CC,≥5
NOTE:The applicability of requirements for different CA configurations and bandwidth combination sets is defined in clause 8.1.2.3,,,
