Dual connectivity capability,Bandwidth combination for FDD dual connectivity,Bandwidth combination for TDD dual connectivity
DC_A_3,"20+20+15MHz, 20+15+15MHz",NA
NOTE 1:This table is only for information and applicability and test rules of dual connectivity performance requirements are specified in 8.1.2.3A,,
