Test Number,Reference Channel,,,OCNG Pattern,,,Propagation Conditions (Note1),,,Correlation Matrix and Antenna Configuration (Note 2),Reference Value,,UE Category
,,Cell 2,Cell 3,Cell 1,Cell 2,Cell 3,Cell 1,Cell 2,Cell 3,,Fraction of Maximum Throughput (%) Note 5,SNR (dB) (Note 3),
1,R.11 TDD Note 4,9,7,OP.1TDD,OP.1TDD,OP.1TDD,EVA5,EVA5,EVA5,2x2 Low,70,14.2,≥2
2,R.35 TDD Note 4,9,1,OP.1TDD,OP.1TDD,OP.1TDD,EVA5,EVA5,EVA5,2x2 Low,70,22.7,≥2
"Note 1:The propagation conditions for Cell 1, Cell 2 and Cell 3 are statistically independent.Note 2:The correlation matrix and antenna configuration apply for Cell 1, Cell 2 and Cell 3.Note 3:SNR corresponds to of cell 1.Note 4:Cell 1 Reference channel is modified: PDSCH other than SIB1/paging and its associated PDCCH/PCFICH are transmitted in the serving cell subframe when the subframe is overlapped with the ABS subframe of aggressor cell and the subframe is available in the definition of the reference channel.Note 5:The maximum Throughput is calculated from the total Payload in 2 subframes, averaged over 20ms.",,,,,,,,,,,,,
