Test Number,Aggregation Level,Reference Channel,OCNG Pattern,,,Propagation Conditions (Note 1),,,Correlation Matrix and Antenna Configuration (Note 2),Reference Value,
,,,Cell 1,Cell 2,Cell 3,Cell 1,Cell 2,Cell3,,Pm-dsg (%),SNR (dB) (Note 3)
1,8 CCE,R.15-2 FDD,OP.1 FDD,OP.1 FDD,OP.1 FDD,EVA5,EVA5,EVA5,2x2 Low,1,-2.0
"Note 1:The propagation conditions for Cell 1, Cell 2 and Cell 3 are statistically independent.Note 2:The correlation matrix and antenna configuration apply for Cell 1, Cell 2 and Cell 3.Note 3:SNR corresponds to of cell 1.",,,,,,,,,,,
