Tests,CA capability where the tests apply,CA configuration from the selected CA capbility where the tests apply,CA Bandwidth combination to be tested in priority order
"CA tests with 2CCs in Clause 8.2.1.1.1, 8.2.1.4.3",Any one of the supported CA capabilities,Any one of the supported FDD CA configurations,"10+10 MHz, 20+20 MHz, 5+5 MHz, 10MHz+5MHz, 15MHz+5MHz"
CA tests with 2CCs in Clause 8.2.1.3.1,Each supported CA capability,Any one of the supported FDD CA configurations in each CA capability,"10+10 MHz, 20+20 MHz, 5+5 MHz, 10MHz+5MHz, other combinations"
"CA tests with 2CCs in Clause 8.2.1.3.1A, 8.7.1, 8.2.1.9.2",Any one of the supported CA capabilities with largest aggregated CA bandwidth combination,Any one of the supported FDD CA configurations with largest aggregated CA bandwidth combination,Largest aggregated CA bandwidth combination
CA tests with 2CCs in Clause 8.2.1.7.1,CA_C,Supported FDD intra-band contiguous CA configurations covering the lowest and highest operating bands,Largest aggregated CA bandwidth combinations
"CA tests with 2CCs in Clause 8.2.2.1.1, 8.2.2.4.3, 8.2.2.9.2",Any one of the supported CA capabilities with largest aggregated CA bandwidth combination,Any one of the supported TDD CA configurations with largest aggregated CA bandwidth combination,Largest aggregated CA bandwidth combination
CA tests with 2CCs in Clause 8.2.2.3.1,Each supported CA capability,Any one of the supported TDD CA configurations in each CA capability with largest aggregated CA bandwidth combination,Largest aggregated CA bandwidth combination
"CA tests with 2CCs in Clause 8.2.2.3.1A, 8.7.2",Any one of the supported CA capabilities with largest aggregated CA bandwidth,Any one of the supported TDD CA configurations with largest aggregated CA bandwidth combination,Largest aggregated CA bandwidth combination
CA tests with 2CCs in 8.2.2.7.1,CA_C,Supported TDD intra-band contiguous CA configurationscovering the lowest and highest operating bands,Largest aggregated CA bandwidth combinations
CA tests with 2CCs in Clause 8.2.1.8.1,CA_N,CA_3A-3A defined in Table 5.6A.1-3,10+10 MHz
CA tests with 2CCs in Clause 8.2.2.8.1,CA2_C,CA_41C defined in Table 5.6A.1-1,20+20 MHz
CA tests in Clause 8.2.1.10.1 (NOTE 4),CA2_C,CA_1C and CA_3C defined in Table 5.6A.1-1,Largest aggregated CA bandwidth combinations
"NOTE 1:The applicability and test rules are specified in this table, unless otherwise stated.NOTE 2:Number of the supported bandwidth combinations to be tested from each selected CA configuration is 1.NOTE 3:A single Uplink CC is configured for all tests.NOTE 4:For FDD carriers with minimum channel spacing, UE only supports the carriers in the following scenarios:Inter-band CA with ≥3 CCs, where Band 1 is with 1 CC and normal spacing (PCell) and Band 2 is with 2 intra-band contiguous CCs and minimum channel spacing (SCell), orBand 1 is configured with 1CC and normal spacing, and UE accesses the CC on Band 1, and then handed over to Band 2 with 2 intra-band contiguous CCs and minimum channel spacing.",,,
