Test number,Bandwidth,Aggregation level,Reference Channel,OCNG Pattern,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,
,,,,,,,Pm-dsg (%),SNR (dB)
1,10 MHz,2 ECCE,R.57 TDD,OP.7 TDD,EVA5,2 x 4 Low,1,6.0
2,10 MHz,8 ECCE,R.58 TDD,OP.7 TDD,EVA5,2 x 4 Low,1,-2.1
