Test number,Bandwidth,Reference Channel,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,,UE DL category
,,,,,Pm-bch (%),SNR (dB),
1,1.4 MHz,R.22,EPA5,2 x 1 Low,1,-1.7,"0, 1bis"
