Parameter,Unit,Value
Number of HARQ processes per component carrier (Note 2),Processes,1 or 2
Maximum number of HARQ transmission,,4
Cyclic Prefix,,Normal
eutraControlRegionSize-r13,,3 for In-band and N/A for Standalone/Guard-band unless otherwise stated
downlinkBitmap-r13 and dl-Gap-r13,,Not configured
dl-GapNonAnchor-r13 anddownlinkBitmapNonAnchor-r13,,Not configured
Unused REs or RB (Note 1),,OCNG
OCNG pattern,,NB.OP.1
"Note 1:For in-band mode, the REs for transmission of LTE signals including PDCCH, CRS should be filled by OCNG.Note 2:1 is applicable for both UE Category NB1 and NB2; 2 is only applicable for UE Category NB2 if UE supports it.",,
