Parameter,Unit,Value
Uplink downlink configuration (Note 1),,4
Special subframe configuration (Note 2),,4
Number of HARQ processes per component carrier (Note 4),Processes,1 or 2
Maximum number of HARQ transmission,,4
Cyclic Prefix,,Normal
eutraControlRegionSize-r13,,"2 for In-band, N/A for Standalone/Guard-band unless otherwise stated"
downlinkBitmap-r13 and dl-Gap-r13,,Not configured
dl-GapNonAnchor-r13 anddownlinkBitmapNonAnchor-r13,,Not configured
Unused REs or RB (Note 3),,OCNG
OCNG pattern,,NB.OP.1
"Note 1:As specified in Table 4.2-2 in TS 36.211 [4]Note 2:As specified in Table 4.2-1 in TS 36.211 [4]Note 3:For in-band mode, the REs for transmission of LTE signals including PDCCH, CRS should be filled by OCNG.Note 4:1 is applicable for both UE Category NB1 and NB2; 2 is only applicable for UE Category NB2 if UE supports it.",,
