Tests,CA capability where the tests apply,CA configuration from the selected CA capbility where the tests apply,CA Bandwidth combination to be tested in priority order
"CA tests with 2CCs in Clause 8.2.3.1.1,8.2.3.2.1A,8.2.3.3.1, 8.7.5.1, 8.2.3.5.1",Any one of the supported CA capabilities with largest aggregated CA bandwidth combination,Any one of the supported TDD-FDD CA configurations with FDD PCell with largest aggregated CA bandwidth combination,Largest aggregated CA bandwidth combination
CA tests with 2CCs in Clause 8.2.3.2.1,Each supported CA capability,Any one of the supported TDD-FDD CA configurations with FDD PCell in each CA capability with largest aggregated CA bandwidth combination,Largest aggregated CA bandwidth combination
"CA tests with 2CCs in Clause 8.2.3.1.2,8.2.3.2.2A,8.2.3.3.2, 8.7.5.2, 8.2.3.5.2",Any one of the supported CA capabilities with largest aggregated CA bandwidth combination,Any one of the supported TDD-FDD CA configurations with TDD PCell with largest aggregated CA bandwidth combination,Largest aggregated CA bandwidth combination
CA tests with 2CCs in Clause 8.2.3.2.2,Each supported CA capability,Any one of the supported TDD-FDD CA configurations with TDD PCell in each CA capability with largest aggregated CA bandwidth combination,Largest aggregated CA bandwidth combination
"NOTE 1:The applicability and test rules are specified in this table, unless otherwise stated.NOTE 2:Number of the supported bandwidth combinations to be tested from each selected CA configuration is 1.NOTE 3:A single Uplink CC is configured for all tests.",,,
