Test number,Bandwidth,Reference Channel,OCNG Pattern,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,
,,,,,,Pm-an (%),SNR (dB)
1,10 MHz,R.18,OP.1 FDD,ETU70,1 x 2 Low,0.1,5.5
2,10 MHz,R.24,OP.1 FDD,ETU70,1 x 2 Low,0.1,0.6
