Test number,Bandwidth,Reference Channel,OCNG Pattern,Propagationcondition,Correlation Matrix and antenna,Reference value,,MBMS UE Category
,,,,,,BLER (%),SNR(dB),
1,10 MHz,R.37 TDD,OP.4 TDD,MBSFN channel model (Table B.2.6-1),1x2 low,1,3.4,≥1
2,10 MHz,R.38 TDD,OP.4 TDD,,,,11.1,≥1
3a,10 MHz,R.39 TDD,OP.4 TDD,,,,20.1,≥2
3b,5MHz,R.39-1 TDD,OP.4 TDD,,,,20.5,1
4,1.4 MHz,R.40 TDD,OP.4 TDD,,,,5.8,≥1
