Test num.,CA Band-width combination,Requirement,UE category
1,2x10MHz,As specified in Table 8.2.1.9.1-4 per CC,≥5
2,2x20MHz,As specified in Table 8.2.1.9.1-4 per CC,≥5
3,2x5MHz,As specified in Table 8.2.1.9.1-4 per CC,≥5
4,10MHz+5MHz,As specified in Table 8.2.1.9.1-4 per CC,≥5
5,15MHz+5MHz,As specified in Table 8.2.1.9.1-4 per CC,≥5
