Parameter,,Unit,Cell 1,,Cell 2
Bandwidth,,MHz,10 MHz,,
Downlink power allocation,,dB,-3,0,
,,,-3 (NOTE 1),0,
,,,0,0,
Cell-specific reference signals,,,"Antenna ports 0,1",Antenna port 0,
Cyclic Prefix,,,Normal,Normal,
Cell ID,,,0,1,
Transmission mode,,,3,NOTE 2,
at antenna port,,dBm/15kHz,-98,N/A,
(NOTE 3),,dB,Reference Value in Table 8.2.1.3.1C-2,12.95,
Correlation and antenna configuration,,,Medium (2x2),Medium(1x2),
Number of OFDM symbols for PDCCH,,,2,N/A,
Max number of HARQ transmissions,,,4,N/A,
Redundancy version coding sequence,,,"{0,1,2,3}",N/A,
NOTE 1:NOTE 2: Downlink physical channel setup in Cell 2 in accordance with Annex C.3.2 applying OCNG pattern OP.5 FDD as defined in Annex A.5.1.5.NOTE 3: Cell 1 is the serving cell. Cell 2 is the interfering cell.NOTE 4: All cells are time-synchronous.NOTE 5: SIB-1 will not be transmitted in Cell2 in this test.,,,,,
