Parameter,,Unit,Test 1
Downlink power allocation,,dB,0
,,dB,0 (NOTE 1)
,,dB,0
at antenna port,,dBm/15kHz,-98
Symbols for MBSFN portion of MBSFN subframes (NOTE 2),,,OCNG (NOTE 3)
PDSCH transmission mode in PCell and SCell,,,1
Numerology in the MBSFN subframe in SCell,,,1.25kHz
"NOTE 1:NOTE 2:The MBSFN portion of an MBSFN subframe comprises the whole MBSFN subframe.NOTE 3:The MBSFN portion of the MBSFN subframes shall contain QPSK modulated data. Cell-specific reference signals are not inserted in the MBSFN portion of the MBSFN subframes, QPSK modulated MBSFN data is used instead.",,,
