Test number,Bandwidth,Reference Channel,OCNG Pattern,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,
,,,,,,Pm-an (%),SNR (dB)
1,10 MHz,R.19,OP.1 FDD,EVA70,2 x 2 Low,0.1,4.4
1A,5MHz (Note 1),R.19-1,OP.1 FDD,EVA 70,2x2 Low,0.1,4
Note 1: Test case applicability is defined in 8.1.2.1.,,,,,,,
