Test Number,Reference Channel,OCNG Pattern,,,Propagation Conditions,,,Correlation Matrix and Antenna Configuration (Note 3),Reference Value,,UE Category
,,Cell 1,Cell 2,Cell 3,Cell 1,Cell 2,Cell 3,,Fraction of Maximum Throughput (%),SINR (dB) (Note 2),
1,R.47 FDD,OP.1 FDD,N/A,N/A,EVA5,EVA5,EVA5,2x2 Low,70,0.8,≥1
"Note 1:The propagation conditions for Cell 1, Cell 2 and Cell 3 are statistically independent.Note 2:SINR corresponds to  of Cell 1 as defined in clause 8.1.1.Note 3:Correlation matrix and antenna configuration parameters apply for each of Cell 1, Cell 2 and Cell 3.",,,,,,,,,,,
