Test num.,CA Band-width combination,,Requirement,UE category
1,2x20MHz,As specified in Table 8.13.2.1.4-2 per CC,,≥5
2,20MHz+15MHz,As specified in Table 8.13.2.1.4-2 per CC,,≥5
Note 1:The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 8.1.2.6.,,,,
