,ue-Category or UE-CategoryDL,
UE-EUTRA-Capability,"M1, Cat-0, 1bis",>=1 (Note 1)
ce-ModeA-r13,8.11.1.2.1.1 Test 18.11.1.2.2.1 Test 18.11.1.2.3.1 Test 2,8.11.1.2.2.1 Test 2 8.11.1.2.2.1 Test 3
ce-ModeB-r13,8.11.1.2.1.1 Test 18.11.1.2.2.1 Test 18.11.1.2.3.1 Test 1,8.11.1.2.2.1 Test 28.11.1.2.2.1 Test 38.11.1.2.3.1 Test 38.11.1.2.3.1 Test 4
Note 1:Which test case applies to the UE depends on the supported receiver antenna number.,,
