Test number,Bandwidth combination
1,20MHz for both cells
2,15MHz for PCell and 20MHz for SCell
Note 1: The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 9.1.1.2. The test coverage for different number of component carriers is defined in 9.1.1.3.Note 2: Mapping of PCell and Scell to the CCs shall be constant for all the iterations during the test. Each execution of the test shall use the same mapping.,
