Test Number,Reference Channel,,OCNG Pattern,,Propagation Conditions (Note1),,Correlation Matrix and Antenna Configuration (Note 2),Reference Value,,UE Category
,TP 1,TP 2,TP 1,TP 2,TP 1,TP 2,,Fraction of Maximum Throughput (%),SNR1 (dB) (Note 3),
1,R.97 TDD,[R.97 TDD,OP.1TDD,OP.1TDD,EPA5,EPA5,2x2 Low,70,10.7,≥2
Note 1:The propagation conditions for TP 1 and TP 2 are statistically independent.Note 2:Correlation matrix and antenna configuration parameters apply for each of TP 1 and TP 2.Note 3:SNR corresponds to  of TP 1 and TP 2 as defined in clause 8.1.1.,,,,,,,,,,
