Parameter,,Unit,Value
Bandwidth,,MHz,20
PDSCH transmission mode,,,3
Downlink power allocation,,dB,-3
,,dB,-3
,,dB,0
Propagation condition and antenna configuration,,,Clause B.1 (2 x 2)
SNR,,dB,20
,,dB[mW/15kHz],-78
,,dB[mW/15kHz],-98
Max number of HARQ transmissions,,,1
Reporting mode,,,PUSCH 3-0
CSI request field,,,‘10’
trigger1 (Note 2),,,01000000
trigger2 (Note 2),,,00000000
"Note 1:PCell is used for HARQ ACK/NACK feedback and aperiodic CSI triggering/reporting. One sided dynamic OCNG Pattern OP.1 FDD as described in A.5.1.1 is transmitted on PCell on all RBs, but PDSCH for user data is not transmitted on PCell.Note 2:trigger1 and trigger2 are defined as TS 36.331 for aperiodicCSI-Trigger. They Indicate for which serving cell(s) the aperiodic CSI report is triggered when one or more SCells are configured. PDCCH DCI format 0 with a trigger for aperiodic CQI is transmitted periodically in subframe 1 and subframe 6 with 5ms periodicity.",,,
