Test number,Bandwidth (MHz),,,Measurement channel,,Reference valueTB success rate across CGs(%),,
,,,,,,DRB type of Split bearer (Note 2),DRB type of SCG bearer (Note 3),
,,,,,,,MCG,SCG
,Total,FDD CC,TDD CC,FDD CC,TDD CC,,,
1,2x20,20,20,R.68 FDD,R.68-3 TDD,85,85,85
"Note 1:For 2 layer transmissions, 2 transport blocks are received within a TTI.Note 2:For the configuration of DRB type of Split bearer, the TB success rate across CGs is defined as TB success rate = 100%*NDL_correct_rx/ (NDL_newtx + NDL_retx), where NDL_newtx is the number of newly transmitted DL transport blocks, NDL_retx is the number of retransmitted DL transport blocks, and NDL_correct_rx is the number of correctly received DL transport blocks. All the above numbers of transmitted, retransmitted or correctly received DL transport blocks are calculated as the sum of the numbers of DL transport blockes across all the CGs used for DC transmission or reception.Note 3:For the configuration of DRB type of SCG bearer, the TB success rate across CGs is defined as TB success rate = 100%*NDL_correct_rx/ (NDL_newtx + NDL_retx), where NDL_newtx is the number of newly transmitted DL transport blocks, NDL_retx is the number of retransmitted DL transport blocks, and NDL_correct_rx is the number of correctly received DL transport blocks. All the above numbers of transmitted, retransmitted or correctly received DL transport blocks are calculated as the sum of the numbers of DL transport blockes per CG used for DC transmission or reception, separately.",,,,,,,,
