Test num.,Band-width combination,Requirement,UE category
,,,
1,4x20 MHz,As specified in Table 8.2.2.4.3A-2 per CC,≥8
2,15+20+20+20MHz,As specified in Table 8.2.2.4.3A-2 per CC,≥8
Note 1:The OCNG pattern applies for each CC.Note 2: The applicability of requirements for different dual connectivity configurations and bandwidth combination sets is defined in 8.1.2.3A.,,,
