Test number,Bandwidth,Aggregation level,Reference Channel,OCNG Pattern,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,,UECategory
,,,,,,,Pm-dsg (%),SNR (dB),
1,10 MHz,16 ECCE,R.82 FDD,OP.2 FDD,EPA5,2 x 1 Low,1,-3.4,M1
