Test Number,Reference Channel,OCNG Pattern,,,Propagation Conditions,,,Correlation Matrix and Antenna Configuration (NOTE 3),Reference Value,,UE Category
,,Cell 1,Cell 2,Cell 3,Cell 1,Cell 2,Cell 3,,Fraction of Maximum Throughput (%),SINR (dB) (NOTE 2),
1,R.46 FDD,OP.1 FDD,N/A,N/A,EVA70,EVA70,EVA70,2x2 Low,70,-1.1,≥1
"NOTE 1:The propagation conditions for Cell 1, Cell 2 and Cell 3 are statistically independent.NOTE 2:SINR corresponds to  of Cell 1 as defined in clause 8.1.1.NOTE 3:Correlation matrix and antenna configuration parameters apply for each of Cell 1, Cell 2 and Cell 3.",,,,,,,,,,,
