CA Capability,CA Capability Description
CA7_C,Intra-band contiguous CA
CA7_A2,Inter-band CA (two bands)
CA7_A3,Inter-band CA (three bands)
CA7_A4,Inter-band CA (four bands)
CA7_A5,Inter-band CA (five bands)
CA7_N2,Intra-band non-contiguous CA (with two sub-blocks)
NOTE 1:CA6_C corresponds to E-UTRA CA configurations and bandwidth combination sets defined in Table 5.6A.1-1 for 7 DL CCs. CA5_A2 corresponds to E-UTRA CA configurations and bandwidth combination sets defined in Table 5.6A.1-2 for 7 DL CCs. CA5_A3 corresponds to E-UTRA CA configurations and bandwidth combination sets defined in and Table 5.6A.1-2a for 7 DL CCs.CA5_A4 corresponds to E-UTRA CA configurations and bandwidthcombination sets defined in and Table 5.6A.1-2b for 7 DL CCsCA5_A5 corresponds to E-UTRA CA configurations and bandwidth combination sets defined in and Table 5.6A.1-2c for 7 DL CCs CA5_N2 corresponds to E-UTRA CA configurations and bandwidth combination sets defined in Table 5.6A.1-3 for 7 DL CCs.,
