Test number,Bandwidth,Aggregation level,Reference Channel,OCNG Pattern,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,
,,,,,,,Pm-dsg (%),SNR (dB)
1,10 MHz,4 ECCE,R.55 TDD,OP.7 TDD,EVA5,2 x 2 Low,1,2.80
2,10 MHZ,16 ECCE,R.56 TDD,OP.7 TDD,EVA70,2 x 2 Low,1,-3.10
