CA config,Bandwidth/ Bandwidth combination(MHz),"Cat. 11, 12",DL Cat. 13,DL Cat. 15,DL Cat. 16,,
,,"DL Cat. 11, 12",,,,,
Single carrier,20,-,1,-,-,,
CA with 2CCs,15+20,2,2,-,-,,
,2x20,3,3,-,-,,
CA with 3 CCs,3x20,4,3,4,-,,
,15+20+20,5,3,5,-,,
CA with 4 CCs,4x20,4,-,6,6,,
,15+3x20,5,-,7,7,,
CA with 5 CCs,5x20,,,,8,,
,15+4x20,,,,9,,
CA with 6 CCs,6x20,,,,10,,
CA with 7 CCs,7x20,,,,11,,
