Bandwidth,PSSCH Reference channel,Propagation condition,Reference value,
,,,PSSCH BLER (%),SNR (dB) of PSSCH
10 MHz,CD.16,AWGN,5,12.0
20 MHz,CD.15,AWGN,5,12.0
