Test Number,Reference Channel,OCNG Pattern,,Propagation Conditions (Note 1),,Antenna Configuration and Correlation Matrix,Reference Value,
,,Cell 1,Cell 2,Cell 1,Cell 2,,Pm-an (%),SNR (dB) (Note 2)
1,R.19,OP.1 FDD,OP.1 FDD,EPA5,EPA5,2x2 Low,0.1,4.6
Note 1:The propagation conditions for Cell 1 and Cell 2 are statistically independent.Note 2:SNR corresponds to of cell 1.Note 3:The correlation matrix and antenna configuration apply for Cell 1 and Cell 2.,,,,,,,,
