Test number,Bandwidth,Reference Channel,OCNG Pattern,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,
,,,,,,Pm-an (%),SNR (dB)
1,10 MHz,R.19,OP.1 TDD,EVA70,2 x 4 Low,0.1,0.9
