Test number,Bandwidth combination (MHz)
1,20MHz for FDD cell and 3x20MHz for TDD cell
2,2x20MHz for FDD cell and 2x20MHz for TDD cell
3,20+15MHz for FDD cell and 2x20MHz for TDD cell
4,2x15MHz for FDD cell and 2x20MHz for TDD cell
5,2x20+15MHz for FDD cell and 20MHz for TDD cell
6,2x15+20MHz for FDD cell and 20MHz for TDD cell
7,2x20+10MHz for FDD cell and 20MHz for TDD cell
8,3x20MHz for FDD cell and 20MHz for TDD cell
9,10MHz for FDD cell and 3x20MHz for TDD cell
10,2x10MHz for FDD cell and 2x20MHz for TDD cell
11,2x10MHz for FDD cell and 20+15MHz for TDD cell
12,10+20MHz for FDD cell and 2x20MHz for TDD cell
13,10+15MHz for FDD cell and 2x20MHz for TDD cell
14,10+15+20MHz for FDD cell and 20MHz for TDD cell
"Note 1: The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 9.1.1.2A. The test coverage for different number of component carriers is defined in 9.1.1.3.Note 2: If more than one cell can be configured as PCell, choose one of the cells with the smallest bandwidth as PCell. Mapping of PCell and Scells to the CCs shall be constant for all the iterations during the test. Each execution of the test shall use the same mapping.",
