Parameter,Unit,Value
Cyclic prefix,,Normal
Cell ID,,0
Inter-TTI Distance,,1
Number of HARQ processes per component carrier,Processes,8
Maximum number of HARQ transmission,,4
Redundancy version coding sequence,,"{0,0,1,2} for 64QAM and 256QAM"
Number of OFDM symbols for PDCCH per component carrier,OFDM symbols,1
Cross carrier scheduling,,Not configured
Propagation condition,,Static propagation conditionNo external noise sources are applied
