Test number,Bandwidth,Aggregation level,Reference Channel,OCNG Pattern,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,
,,,,,,,Pm-dsg (%),SNR (dB)
1,10 MHz,4 ECCE,R.55 FDD,OP.7 FDD,EVA5,2 x 4 Low,1,-0.7
2,10 MHZ,16 ECCE,R.56 FDD,OP.7 FDD,EVA70,2 x 4 Low,1,-5.8
